document_id,content
10,"Students try to find tissue cells on their skin. BACKGROUND: A tissue is a group of cells that have a similar shape and function. Different types of tissues can be found in different organs. In humans, there are four basic types of tissue: epithelial, connective, muscular, and nervous tissue. There may be various sub-tissues within each of the primary tissues. "
11,"Human body tissue consists of groups of cells with a similar structure working together for a specific function. There are four main types of tissue in a body. Learn more about them and take a short quiz at the end. Definition of Human Body Tissue. If you were to try to explain to someone what your body is made of, you might say two arms, two legs, feet and hands, a head and a torso. Or, you may go to the other extreme and say that you are made up of billions of cells. Both answers would be correct."
12,"Medical Definition of TISSUE. : an aggregate of cells usually of a particular kind together with their intercellular substance that form one of the structural materials of a plant or an animal and that in animals include connective tissue, epithelium, muscle tissue, and nerve tissue. 2. : a piece of soft absorbent tissue paper used especially as a handkerchief or for removing cosmetics. 3. : an aggregate of cells usually of a particular kind together with their intercellular substance that form one of the structural materials of a plant or an animal. — tis·su·ey \ˈti-shə-wē\ adjective."
13,"Noun. 1. tissue-part of an organism consisting of an aggregate of cells having a similar structure and function. organism, being-a living thing that has (or can develop) the ability to act or function independently. body part-any part of an organism such as an organ or extremity. n. 1. (Biology) a part of an organism consisting of a large number of cells having a similar structure and function: connective tissue; nerve tissue. 2. a thin piece of soft absorbent paper, usually of two or more layers, used as a disposable handkerchief, towel, etc. 3."
14,"A sarcoma is a type of cancer that develops from certain tissues, like bone or muscle. Bone and soft tissue sarcomas are the main types of sarcoma. Soft tissue sarcomas can develop from soft tissues like fat, muscle, nerves, fibrous tissues, blood vessels, or deep skin tissues. They can be found in any part of the body. "
15,"In biology, tissue is a cellular organizational level intermediate between cells and a complete organ. A tissue is an ensemble of similar cells from the same origin that together carry out a specific function. Organs are then formed by the functional grouping together of multiple tissues. The study of tissue is known as histology or, in connection with disease, histopathology. "
16,"noun. A box of tissues. A box of tissues. The definition of tissue is group of cells, or an absorbent paper, or thin paper used for wrapping gifts. 1  All of the soft joints and ligaments in your neck are an example of neck tissue. 2  A Kleenex is an example of a tissue. "
17,Full Definition of TISSUE. 1. a: a fine lightweight often sheer fabric. 2. : a piece of soft absorbent tissue paper used especially as a handkerchief or for removing cosmetics. 3. : an aggregate of cells usually of a particular kind together with their intercellular substance that form one of the structural materials of a plant or an animal. — tis·su·ey \ˈti-shə-wē\ adjective.
18,"Tissue: A group or layer of cells that perform specific functions. For example, muscle tissue is a group of muscle cells. "
19,"Hepatitis B vaccine can prevent hepatitis B, and the serious consequences of hepatitis B infection, including liver cancer and cirrhosis. Hepatitis B vaccine may be given by itself or in the same shot with other vaccines. Routine hepatitis B vaccination was recommended for some U.S. adults and children beginning in 1982, and for all children in 1991."
20,"Where to get the hepatitis B vaccine. You can get the Hep B vaccine at your health care provider's office or a local health clinic. If you don't have health insurance, some public health clinics may be able to offer you free or low-cost vaccines."
21,Adults getting hepatitis B vaccine should get 3 doses -- with the second dose given 4 weeks after the first and the third dose 5 months after the second. Your doctor can tell you about other dosing schedules that might be used in certain circumstances.
22,"Thus, a total of 4 doses of hepatitis B vaccine are provided in the 1st year of life. The 1st dose of a hepatitis B-containing vaccine can be given as early as 6 weeks of age. If the 1st dose is given at 6 weeks of age, the next scheduled doses should still be given at 4 months and 6 months of age."
23,Adults getting hepatitis B vaccine should get 3 doses — with the second dose given 4 weeks after the first and the third dose 5 months after the second. Your doctor can tell you about other dosing schedules that might be used in certain circumstances. Top of Page.
24,"Hepatitis B vaccine can prevent hepatitis B, and the serious consequences of hepatitis B infection, including liver cancer and cirrhosis. Hepatitis B vaccine may be given by itself or in the same shot with other vaccines."
25,"1 FACT: Hepatitis B virus infection can be prevented with a safe and effective vaccine. 2  You cannot get hepatitis B from the hepatitis B vaccine. 3  FACT: The hepatitis B vaccine prevents liver cancer. 4  FACT: An estimated 800,000 to 1.4 million people in the US have chronic HBV infection."
26,"Best Answer: Tarnish is a thin layer of corrosion that forms over copper, brass, silver, aluminum, and other similar metals as their outermost layer undergoes a chemical reaction. Tarnish does not always result from the sole effects of oxygen in the air. What is the sole difference between the metals that corrodes and the metals that tarnish. For. E.g. appearance for Statue of Liberty in green colour, is because of patina formed over the years on copper metal, which according to my understanding is termed as metal being tarnished. For E.g. iron chain links of.."
27,"Tarnish is a product of a chemical reaction between a metal and a nonmetal compound, especially oxygen and sulfur dioxide. It is usually a metal oxide, the product of oxidation. Sometimes it is a metal sulfide. The metal oxide sometimes reacts with water to make the hydroxide; and carbon dioxide to make the carbonate. Tarnish actually preserves the underlying metal in outdoor use, and in this form is called patina. The formation of patina is necessary in applications such as copper roofing, and outdoor copper, bronze, and brass statues and fittings. Patina is the name given to tarnish on copper based metals."
28,"As verbs the difference between tarnish and besmirch is that tarnish is to oxidize or discolor due to oxidation while besmirch is to make dirty; to soil. As a noun tarnish is oxidation or discoloration, especially of a decorative metal exposed to air. As verbs the difference between metal and tarnish is that metal is to make a road using crushed rock, stones etc while tarnish is to oxidize or discolor due to oxidation. As a adjective metal is (music) characterized by strong, fast drum-beats and distorted guitars."
29,"As nouns the difference between tarnish and blemish is that tarnish is oxidation or discoloration, especially of a decorative metal exposed to air while blemish is a small flaw which spoils the appearance of something, a stain, a spot. As verbs the difference between metal and tarnish is that metal is to make a road using crushed rock, stones etc while tarnish is to oxidize or discolor due to oxidation. As a adjective metal is (music) characterized by strong, fast drum-beats and distorted guitars."
30,"As verbs the difference between oxidize and tarnish is that oxidize is (chemistry|transitive) to combine with oxygen or otherwise make an oxide while tarnish is to oxidize or discolor due to oxidation. As a noun tarnish is oxidation or discoloration, especially of a decorative metal exposed to air. As verbs the difference between metal and tarnish is that metal is to make a road using crushed rock, stones etc while tarnish is to oxidize or discolor due to oxidation. As a adjective metal is (music) characterized by strong, fast drum-beats and distorted guitars."
31,"show more What is the sole difference between the metals that corrodes and the metals that tarnish. For. E.g. appearance for Statue of Liberty in green colour, is because of patina formed over the years on copper metal, which according to my understanding is termed as metal being tarnished. For E.g. iron chain links of..."
32,"Tarnish is a thin layer of corrosion that forms over copper, brass, silver, aluminum, and other similar metals as their outermost layer undergoes a chemical reaction.Oxidation … is defined as the interaction between oxygen molecules and all the different substances they may contact, from metal to living tissue. For example, silver needs hydrogen sulfide to tarnish; it does not tarnish with only oxygen. It often appears as a dull, gray or black film or coating over metal whereas oxidation usually results in brown or green. Hope it helps!! :)."
33,"Tarnish is a thin layer of corrosion that forms over copper, brass, silver, aluminum, and other similar metals as their outermost layer undergoes a chemical reaction.Oxidation is defined as the interaction between oxygen molecules and all the different substances they may contact, from metal to living tissue. Oxide is a monatomic (single-atom) ion consisting of an oxygen atom with a 2- charge (O2-). An oxide can also be just about any compound that contains oxygen in the 2- oxidati … on state."
34,"As verbs the difference between discolor and tarnish is that discolor is to change or lose color while tarnish is to oxidize or discolor due to oxidation. As a noun tarnish is oxidation or discoloration, especially of a decorative metal exposed to air. As verbs the difference between metal and tarnish is that metal is to make a road using crushed rock, stones etc while tarnish is to oxidize or discolor due to oxidation. As a adjective metal is (music) characterized by strong, fast drum-beats and distorted guitars."
35,ARTEMON αρτεμων m Ancient Greek. From an ancient Greek name which was derived from the name of the Greek goddess ARTEMIS. ASKLEPIADES ασκληπιαδης m Ancient Greek. Ancient Greek personal name which was derived from the name of the Greek god ASKLEPIOS ... Means born of Hermes from the name of the messenger god HERMES combined with Greek γενης (genes) born. HERMOKRATES ‘ερμοκρατης m Ancient Greek. Means power of Hermes from the name of the messenger god HERMES combined with Greek κρατος (kratos) power.
36,Ancient Greek name derived from the name of the god APOLLO ... [more]. APOLLODOROS απολλοδωρος m Ancient Greek. Means gift of Apollo from the name of the god APOLLO combined with Greek δωρον (doron) gift. Means born of Hermes from the name of the messenger god HERMES combined with Greek γενης (genes) born. HERMOKRATES ‘ερμοκρατης m Ancient Greek. Means power of Hermes from the name of the messenger god HERMES combined with Greek κρατος (kratos) power.
37,"Greek form of EUTHYMIUS. EUTHYMIUS m Ancient Greek (Latinized). Latinized form of the Greek name ευθυμιος (Euthymios) which meant in good spirits, derived from the word ευθυμος (euthymos) , which was composed of the elements ευ (eu) good and θυμος (thymos) soul, spirit ... Greek form of PLATO. PLOUTARCHOS m Ancient Greek. Greek form of PLUTARCH. POLYCARP m Ancient Greek (Anglicized). From the Greek name πολυκαρπος (Polykarpos) meaning fruitful, rich in fruit, ultimately from Greek πολυς (polys) much and καρπος (karpos) fruit ..."
38,"DORIEUS: Of the Dorian tribe.. Greek name derived from the name of an obscure, ancient Hellenic tribe called the Dorians, supposed to have existed in the north-eastern regions of Greece, ancient Macedonia and Epirus. Their founder was Dorus, son of Hellen (also called Hellenas). ACHAIKOS: Greek name meaning from Achaia.. ACHILLEUS: Original Greek form of Achilles, meaning either pain or lipless.. ACTAEON (Actaeon): Actæon greek myth name of a hunter who was torn to pieces by his own, dogs meaning.. Effulgence he was then transformed into a, deer thus himself becoming the. hunted"
39,"DEMOCRITUS m Ancient Greek (Latinized). Latinized form of δημοκριτος (Demokritos) , a Greek name meaning judge of the people from the elements δημος (demos) the people and κριτης (krites) judge, critic ... Greek form of PLATO. PLOUTARCHOS m Ancient Greek. Greek form of PLUTARCH. POLYCARP m Ancient Greek (Anglicized). From the Greek name πολυκαρπος (Polykarpos) meaning fruitful, rich in fruit, ultimately from Greek πολυς (polys) much and καρπος (karpos) fruit ..."
40,"The Greeks (Greek: έλληνες) have been identified by many ethnonyms. The most common native ethnonym is Hellen (ἕλλην), pl.  Hellenes  (ἕλληνες); the name Greeks (Latin :  Graeci ) was used by the Ancient Romans and gradually entered the European languages through its use in Latin. The name Hellenes was probably used by the Greeks with the establishment of the Great Amphictyonic League, an ancient association of Greek tribes. According to legend it was founded after the Trojan War, by the eponymous Amphictyon, brother of Hellen."
41,"Latinized form of the Greek name ευτροπιος (Eutropios) , which was derived from the word ευτροπος (eutropos) versatile, formed of the elements ευ (eu) good and τροπος (tropos) direction, manner, fashion. EUTYCHIA ευτυχια f Ancient Greek. Feminine form of Eutychios (see EUTYCHIUS). Means born of Hermes from the name of the messenger god HERMES combined with Greek γενης (genes) born. HERMOKRATES ‘ερμοκρατης m Ancient Greek. Means power of Hermes from the name of the messenger god HERMES combined with Greek κρατος (kratos) power."
42,"Construction. The complete Ancient Greek name consisted of a given name, a patronym, and sometimes a name indicating ethnicity. Given names were often dithematic, that is having two elements, which were usually based on Ancient Greek vocabulary words. For example, the name δημοστρατη (Demostrate) was formed of the elements δημου (demou) = of the people and στρατος (stratos) = army. Ancient Greek names are commonly used in modern Greece. A large number are also used throughout Europe, transmitted by the New Testament and as saintly names. Examples of English-language forms include:"
43,"Ancient Greek form of ARISTOTLE. ARISTOTLE m Ancient Greek (Anglicized). From the Greek name αριστοτελης (Aristoteles) which meant the best purpose, derived from αριστος (aristos) best and τελος (telos) purpose, aim ... Greek form of PLATO. PLOUTARCHOS m Ancient Greek. Greek form of PLUTARCH. POLYCARP m Ancient Greek (Anglicized). From the Greek name πολυκαρπος (Polykarpos) meaning fruitful, rich in fruit, ultimately from Greek πολυς (polys) much and καρπος (karpos) fruit ..."
44,"In some people, the disease also results in arthritis, skin problems, and inflammation of the digestive tract, brain, and spinal cord. Behcet’behçet s disease is common in The Middle, East, asia And; japan it is rare in The United. States In Middle eastern And asian, countries the disorder affects more men than. women Autoimmune disease. A disease that results when the immune system mistakenly attacks the body’s own tissues. Autoinflammatory disease. A disease that results when the innate immune system causes inflammation for unknown reasons."
45,"However, chronic inflammation can eventually cause several diseases and conditions, including some cancers, rheumatoid arthritis, atherosclerosis, periodontitis, and hay fever. Inflammation needs to be well regulated. Examples of diseases and conditions with chronic inflammation include: 1  Asthma. 2  Chronic peptic ulcer. 3  Tuberculosis. 4  Rheumatoid arthritis. 5  Chronic periodontitis. 6  Ulcerative colitis and Crohn's disease. 7  Chronic sinusitis. 8  Chronic active hepatitis (there are many more)"
46,"Understand the risks of inflammation. Although it is not proven that inflammation causes cardiovascular disease, inflammation is common for heart disease and stroke patients and is thought to be a sign or atherogenic response."
47,"Behcet’behçet S. Disease’behcet behçet s disease causes canker sores or ulcers in the mouth and on the genitals and inflammation in parts of. The eye in, some people the disease also results, in arthritis, skin problems and inflammation of the, digestive, tract brain and. spinal cord Autoimmune disease. A disease that results when the immune system mistakenly attacks the body’s own tissues. Autoinflammatory disease. A disease that results when the innate immune system causes inflammation for unknown reasons."
48,"Behcet’behçet s disease causes canker sores or ulcers in the mouth and on the genitals and inflammation in parts of the. Eye in some, people the disease also results in, arthritis skin, problems and inflammation of the digestive, tract, brain and spinal. cord Autoimmune disease. A disease that results when the immune system mistakenly attacks the body’s own tissues. Autoinflammatory disease. A disease that results when the innate immune system causes inflammation for unknown reasons."
49,"Answer: Relapsing polychondritis is a rare disease that causes inflammation of cartilage throughout the body, especially in the ears, nose, eyes and throat. Symptoms of this disease come and go. The severity of symptoms, and how often they appear, varies quite a bit from person to person. In relapsing polychondritis, cartilage becomes inflamed, causing redness, swelling, irritation, discomfort and pain in the affected areas. The inflammation of this disease may cause your windpipe, or trachea, to narrow, resulting in hoarseness, shortness of breath and wheezing."
50,"In contrast, chronic inflammation may lead to a host of diseases, such as hay fever, periodontitis, atherosclerosis, rheumatoid arthritis, and even cancer (e.g., gallbladder carcinoma). Inflammation is therefore normally closely regulated by the body. "
51,"Muscle inflammation may be caused by an allergic reaction, exposure to a toxic substance or medicine, another disease such as cancer or rheumatic conditions, or a virus or other infectious agent. The chronic inflammatory myopathies are idiopathic, meaning they have no known cause. They are thought to be autoimmune disorders, in which the body’s white blood cells (that normally fight disease) attack blood vessels, normal muscle fibers, and connective tissue in organs, bones, and joints. Myopathy is a term used to describe muscle disease. The inflammatory myopathies are a group of diseases that involve chronic muscle inflammation, accompanied by muscle weakness."
52,"The assassins typically use sodium hydroxide or potassium hydroxide, strong bases commonly known as lye. (The Times story misidentified their reagent of choice as an acid.) Heated to 300 degrees, a lye solution can turn a body into tan liquid with the consistency of mineral oil in just three hours. You can purchase 8 pounds of it —enough to dissolve a few bodies—from soap-making or farm-supply stores for less than $15. If you can't wait for delivery, pick up some drain cleaner from the supermarket, but it's so dilute that you may need to use quite a few bottles."
53,"Both sodium hydroxide and potassium hydroxide are used in making soap. Sodium hydroxide is often used to make solid soap, while potassium hydroxide is used to make liquid soap. Potassium hydroxide soaps are softer and more easily dissolved in water than sodium hydroxide soaps. Pellets of sodium hydroxide. A lye is a liquid obtained by leaching ashes (containing largely potassium carbonate or potash), or a strong alkali which is highly soluble in water producing caustic basic solutions."
54,"This is alkaline hydrolysis. Basically what happens is this: you’re put into a large tank filled with a lye solution, heated up to 300 degrees, and submitted to about 60 pounds of pressure per square inch (about the same as the pressure in a bicycle tire). "
55,"In regard to the soapmaking... when lye is used to make soap it undergoes a chemical reaction. There is no longer lye, it is soap. This is why you should let your cold process soaps sit for up to 7 weeks though, so this chemical reaction can complete. Hope this helps you. Lye is a chemical when its mixed with water it can cause chemical burns because of the reaction it has. lye is a base and is neutralized by an acid, vinegar. When Lye is in powder form it is completely harmless until it comes in contact with water."
56,"The process is called alkaline hydrolysis and was developed in this country 16 years ago to get rid of animal carcasses. It uses lye, 300-degree heat and 60 pounds of pressure per square inch to destroy bodies in big stainless-steel cylinders that are similar to pressure cookers. Since they first walked the planet, humans have either buried or burned their dead. Now a new option is generating interest — dissolving bodies in lye and flushing the brownish, syrupy residue down the drain."
57,"Lye is also made from wood ash, but that lye is inconsistent and makes a very soft bar. If you want to learn how to make lye this way, there are many tutorials available on the internet. I’ve wanted to try making Black Soap using banana leaves that is done much the same way. "
58,"What is sprinkled over decomposing bodies? I remember seeing on a tv show that there are two types of lye, one commonly used in gardening and the other to cover dead bodies by killers. My friends say that it is lime and it helps decompose bodies. So will someone who knows what they're talking about explain this... Quicklime (CaO) or Lye (NaOH) will both speed composition of dead bodies. Quicklime was historically used in old mass pauper's graves, but they will both work."
59,"In addition to being safer and more efficient, lye is also easier to obtain than strong acids. You can purchase 8 pounds of it —enough to dissolve a few bodies—from soap-making or farm-supply stores for less than $15. If you can't wait for delivery, pick up some drain cleaner from the supermarket, but it's so dilute that you may need to use quite a few bottles."
60,"Pure Lye. Sodium hydroxide, also known as Caustic Soda or Lye, is a product that is used in the creation of soap, detergent, paper, textiles and drinking water. It is a chemical base and comes packaged as a white solid. Sodium Hydroxide (Lye) – Uses and Benefits"
61,In India we call mango is king of all fruit. in Brazil they call Avocado is king of all fruit. In Indonesia they call Durian is king of all fruit. that depends any way what are you gonna do if some fruit is king or queen. all that matters is their taste to you.................... Source(s): My bloody Head. ravii_aachary · 7 years ago.
62,"The durian (/ˈdjʊriən/) is the fruit of several tree species belonging to the genus Durio. The name 'durian' is derived from the Malay-Indonesian languages word for duri or spike, a reference to the numerous spike protuberances of the fruit, together with the noun-building suffix-an. The centre of ecological diversity for durians is the island of Borneo, where the fruit of the edible species of Durio including D. zibethinus, D. dulcis, D. graveolens, D. kutejensis, D. oxleyanus and D. testudinarum is sold in local markets."
63,"Some call the pineapple, only because of its crown. The durian is the fruit of several tree species belonging to the genus Durio and the taxonomists. Widely known and rever … ed in southeast Asia as the king of fruits, the durian is distinctive for its large size, unique colour, and formidable thorn-covered husk."
64,"Often called the “king of fruits” elsewhere in the world, the mango is not high in calories, and it is an excellent source of beta carotene, vitamin A and potassium. Now is the time to get acquainted with them: although they’re in season from January to August, mangoes peak in May and June. "
65,"Some call the pineapple, only because of its crown. The durian is the fruit of several tree species belonging to the genus Durio and the taxonomists. Widely known and revered in southeast Asia as the king of fruits, the durian is distinctive for its large size, unique colour, and formidable thorn-covered husk"
66,guava from: Nutrition Action Health Newsletter-Fantastic Fruit Any fruit is good fruit. Some studies find a lower risk of cancer among people who eat more fruits and vegetables rich in carotenoids and vitamin C. Others find a lower riskamong people who eat more of any fruits or vegetables. In Indonesia they call Durian is king of all fruit. that depends any way what are you gonna do if some fruit is king or queen. all that matters is their taste to you.................... Source(s): My bloody Head. ravii_aachary · 7 years ago.
67,"King of Fruits: The apple! It's got lots of nutrients, and among the fruits, it's the neutral one in terms of sugar. It's good for healthy people to stay healthy (rich in vitamins!) and for diabetics or pre-diabetics. Diabetics can't eat certain sugar-loaded fruits. It's a complex carbohydrate too, I think. I know for a fact who the king of the vegetables is..he is not feared, for he lies low, under the radar. Nobody suspects this mean veggie, he is deadly, he is stealthy, and most important, he is good for you. HIs name.... The potato."
68,"The King of Fruits. Durian stinks so badly that it’s banned from hotels and mass transit in parts of Southeast Asia, yet it’s regarded by some as a delicacy. "
69,"Durio zibethinus is the only species available in the international market: other species are sold in their local regions. Regarded by many people in southeast Asia as the king of fruits, the durian is distinctive for its large size, strong odour, and formidable thorn-covered husk. The fruit can grow as large as 30 centimetres (12 in) long and 15 centimetres (6 in) in diameter, and it typically weighs one to three kilograms (2 to 7 lb). The centre of ecological diversity for durians is the island of Borneo, where the fruit of the edible species of Durio including D. zibethinus, D. dulcis, D. graveolens, D. kutejensis, D. oxleyanus and D. testudinarum is sold in local markets."
70,"Examples of common lipids include butter, vegetable oil, cholesterol and other steroids, waxes, phospholipids, and fat-soluble vitamins. The common characteristic of all of these compounds is that they are essentially insoluble in water yet soluble in one or more organic solvents. Lipids are used by organisms for energy storage, as a signalling molecule (e.g., steroid hormones), and as a structural component of cell membranes. The other major classes of organic compounds (nucleic acids, proteins, and carbohydrates) are much more soluble in water than in an organic solvent. Lipids do not share a common molecule structure. There are many different types of lipids."
71,"To put it another way, lipids are insoluble in water but soluble in at least one organic solvent. The other major classes of organic compounds (nucleic acids, proteins, and carbohydrates) are much more soluble in water than in an organic solvent. Lipids do not share a common molecule structure. There are many different types of lipids."
72,"n. Any of a group of organic compounds, including the fats, oils, waxes, sterols, and triglycerides, that are insoluble in water but soluble in common organic solvents, are oily to the touch, and together with carbohydrates and proteins constitute the principal structural material of living cells. lip·id′ic adj."
73,"1 Lipids are relatively insoluble in water. 2  They are soluble in non-polar solvents, like ether, chloroform, methanol. 3  Lipids have high energy content and are metabolized to release calories. 4  Lipids also act as electrical insulators, they insulate nerve axons. Characteristics of Lipids. 1  Lipids are relatively insoluble in water. 2  They are soluble in non-polar solvents, like ether, chloroform, methanol. 3  Lipids have high energy content and are metabolized to release calories."
74,"a group of substances comprising fatty, greasy, oily and waxy compounds that are insoluble in water and soluble in nonpolar solvents, such as hexane, ether and chloroform. Simple lipids are the triglycerides or neutral fats. Any of a group of organic compounds, including the fats, oils, waxes, sterols, and triglycerides, that are insoluble in water but soluble in common organic solvents, are oily to the touch, and together with carbohydrates and proteins constitute the principal structural material of living cells. lip·id′ic adj."
75,"Lipids. Lipids are very diverse in both their respective structures and functions. These diverse compounds that make up the lipid family are so grouped because they are insoluble in water. They are however soluble in other organic solvents such as ether, acetone, and other lipids. Major lipid groups include fats, phospholipids, steroids, and waxe"
76,"Therefore, Lipids are not soluble in water but are soluble in nonpolar solvents (ex: benzene and chloroform). Lipids have several functions in biology. Digestion of triglycerides yields glycerol and fatty acids, which are subsequently used as fuel. Lipids belong to a family of organic compounds which includes fats, oils, waxes, cholesterol, phospholipids, steroids, and fat-soluble vitamins (A, D, E, and K). They are formed by either or both carbanion-based condensation of thioesters and carbocation-based condensation of isoprene units."
77,"Phosphoglycerides are lipids of glycerol groups bonded to two fat-soluble fatty acids and one charged, water-soluble phosphate group; the compound is known as phosphatidic acid. The phosphate group can be bonded by other chemical group to form different structures for different functions. Lipids belong to a family of organic compounds which includes fats, oils, waxes, cholesterol, phospholipids, steroids, and fat-soluble vitamins (A, D, E, and K). They are formed by either or both carbanion-based condensation of thioesters and carbocation-based condensation of isoprene units."
78,"Lipids. Lipids are important constituent of of the diet because they are a source of high energy value. Lipids are also important because of the fat-soluble vitamins, and essential fatty acids found in the fat of the natural food stuffs. Body fat serves as a very good source of energy, it is stored in adipose tissues. Characteristics of Lipids. 1  Lipids are relatively insoluble in water. 2  They are soluble in non-polar solvents, like ether, chloroform, methanol. 3  Lipids have high energy content and are metabolized to release calories. 4  Lipids also act as electrical insulators, they insulate nerve axon"
79,"A flagellum is a whip-like structure that allows a cell to move. They are found in all three domains of the living world: bacteria, archaea, and eukaryota. While all three types of flagella are used for locomotion, they are structurally very different. Cilia are similar to flagella in structure and function, but a cilium is shorter and moves differently. A ciliated cell usually has hundreds or thousands of cilia, which move in unison like little oars."
80,"A flagellum (/fləˈdʒɛləm/ ; plural: flagella) is a lash-like appendage that protrudes from the cell body of certain prokaryotic and eukaryotic cells. The word flagellum in Latin means whip. An example of a eukaryotic flagellate cell is the mammalian sperm cell, which uses its flagellum to propel itself through the female reproductive tract. Eukaryotic flagella are structurally identical to eukaryotic cilia, although distinctions are sometimes made according to function and/or length."
81,"Flagella are long, thread-like appendages which provide some live single cells with the ability to move, motility. Bacteria which have flagella are either rod or spiral-shaped and are known as bacilli and spirochetes, respectively. Cocci, or round bacteria, are almost all nonmotile. Animal sperm cells also have flagella. However, prokaryotic cells (such as bacteria) have flagella made up of the protein flagellin. Whereas, eukaryotic cells (such as sperm) which have a nucleus have flagella composed of tubulin proteins."
82,"Cilia and Flagella Cilia and flagella are motile cellular appendages found in most microorganisms and animals, but not in higher plants. In multicellular organisms, cilia function to move a cell or group of cells or to help transport fluid or materials past them."
83,"A flagellum is a whip-like structure that allows a cell to move. They are found in all three domains of the living world: bacteria, archaea, and eukaryota, also known as protists, plants, animals, and fungi. Cilia are similar to flagella in structure and function, but a cilium is shorter and moves differently. A ciliated cell usually has hundreds or thousands of cilia, which move in unison like little oars."
84,"The flagella of domains bacteria and archaea are different. They still move the cell, but they do so by rotating, rather than by bending from the inside like eukaryotic flagella. The flagella of archaeans are superficially similar to those of bacteria. However, there are key differences. Cilia are similar to flagella in structure and function, but a cilium is shorter and moves differently. A ciliated cell usually has hundreds or thousands of cilia, which move in unison like little oars."
85,"Cilia and flagella are cell organelles that are structurally similar but are differentiated based on their function and/or length. Cilia are short and there are usually many (hundreds) cilia per cell. On the other hand, flagella are longer and there are fewer flagella per cell (usually one to eight). Though eukaryotic flagella and motile cilia are structurally identical, the beating pattern of the two organelles can be different."
86,"Cilia, flagella, and centrioles. Cilia and flagella are projections from the cell. They are made up of microtubules, as shown in this cartoon and are covered by an extension of the plasma membrane. They are motile and designed either to move the cell itself or to move substances over or around the cell. "
87,"Yes A flagellum, also called undulipodium, is a whip-like structure used for locomotion, for feeding or other purposes. Almost all organisms have flagella to include protozo … a (at some stage in their lives). We humans have them in our bodies. Even our own spermatozoa can be regarded as flagellates. "
